caller,callee,file,verified,correct,notes
real_benchmarks/celery/celery/exceptions.py::Retry.__init__,isinstance,real_benchmarks/celery/celery/exceptions.py,,,
real_benchmarks/celery/celery/utils/text.py::abbrtask,S.rpartition,real_benchmarks/celery/celery/utils/text.py,,,
real_benchmarks/celery/celery/utils/collections.py::LimitedSet._maybe_refresh_heap,LimitedSet._refresh_heap,real_benchmarks/celery/celery/utils/collections.py,,,
real_benchmarks/celery/celery/bin/base.py::CeleryCommand.format_options,CeleryCommand.get_params,real_benchmarks/celery/celery/bin/base.py,,,
real_benchmarks/celery/celery/app/log.py::Logging.setup_logging_subsystem,Logging._configure_logger,real_benchmarks/celery/celery/app/log.py,,,
real_benchmarks/celery/celery/platforms.py::_warn_or_raise_security_error,warnings.warn,real_benchmarks/celery/celery/platforms.py,,,
real_benchmarks/celery/celery/backends/dynamodb.py::DynamoDBBackend.__init__,DynamoDBBackend.url,real_benchmarks/celery/celery/backends/dynamodb.py,,,
real_benchmarks/celery/celery/utils/dispatch/signal.py::Signal.disconnect,warnings.warn,real_benchmarks/celery/celery/utils/dispatch/signal.py,,,
real_benchmarks/celery/celery/worker/consumer/consumer.py::Consumer.on_connection_error_after_connected,Consumer.app.conf,real_benchmarks/celery/celery/worker/consumer/consumer.py,,,
real_benchmarks/celery/celery/app/base.py::Celery._backend,Celery._backend_cache,real_benchmarks/celery/celery/app/base.py,,,
real_benchmarks/celery/celery/concurrency/base.py::BasePool.terminate,BasePool.TERMINATE,real_benchmarks/celery/celery/concurrency/base.py,,,
real_benchmarks/celery/celery/apps/multi.py::MultiParser._parse_ns_range,str,real_benchmarks/celery/celery/apps/multi.py,,,
real_benchmarks/celery/docs/_ext/celerydocs.py::setup,app.add_crossref_type,real_benchmarks/celery/docs/_ext/celerydocs.py,,,
real_benchmarks/celery/celery/result.py::EagerResult._cache,EagerResult._traceback,real_benchmarks/celery/celery/result.py,,,
real_benchmarks/celery/celery/backends/redis.py::RedisBackend.client,RedisBackend.connparams,real_benchmarks/celery/celery/backends/redis.py,,,
real_benchmarks/celery/celery/utils/term.py::supports_images,sys.stdin.isatty,real_benchmarks/celery/celery/utils/term.py,,,
real_benchmarks/celery/celery/bin/logtool.py::Audit.incomplete_tasks,Audit.ready,real_benchmarks/celery/celery/bin/logtool.py,,,
real_benchmarks/celery/celery/_state.py::_get_current_app,os.environ,real_benchmarks/celery/celery/_state.py,,,
real_benchmarks/celery/celery/utils/functional.py::_argsfromspec,join,real_benchmarks/celery/celery/utils/functional.py,,,
real_benchmarks/celery/celery/app/task.py::Context.update,Context.__dict__.get,real_benchmarks/celery/celery/app/task.py,,,
real_benchmarks/celery/celery/app/utils.py::detect_settings,len,real_benchmarks/celery/celery/app/utils.py,,,
real_benchmarks/celery/celery/app/amqp.py::AMQP.as_task_v1,AMQP.app.now,real_benchmarks/celery/celery/app/amqp.py,,,
real_benchmarks/celery/celery/backends/mongodb.py::MongoBackend.decode,MongoBackend.serializer,real_benchmarks/celery/celery/backends/mongodb.py,,,
real_benchmarks/celery/celery/concurrency/asynpool.py::AsynPool.verify_process_alive,proc.pid,real_benchmarks/celery/celery/concurrency/asynpool.py,,,
real_benchmarks/celery/celery/backends/redis.py::RedisBackend.on_chord_part_return,celery.result.allow_join_result,real_benchmarks/celery/celery/backends/redis.py,,,
real_benchmarks/celery/celery/bin/worker.py::WorkersPool.convert,ctx.obj,real_benchmarks/celery/celery/bin/worker.py,,,
real_benchmarks/celery/celery/bin/amqp.py::AMQPContext.reconnect,AMQPContext.connection.close,real_benchmarks/celery/celery/bin/amqp.py,,,
real_benchmarks/celery/celery/local.py::PromiseProxy.__evaluate__,pending.popleft,real_benchmarks/celery/celery/local.py,,,
real_benchmarks/celery/celery/platforms.py::fd_by_path,billiard.compat.get_fdmax,real_benchmarks/celery/celery/platforms.py,,,
real_benchmarks/celery/celery/utils/functional.py::_regen.__reduce__,_regen.data,real_benchmarks/celery/celery/utils/functional.py,,,
