caller,callee,file,verified,correct,notes
real_benchmarks/fastapi/scripts/topic_repos.py::main,settings.github_repository,real_benchmarks/fastapi/scripts/topic_repos.py,,,
real_benchmarks/fastapi/docs_src/custom_request_and_route/tutorial002_py310.py::ValidationErrorLoggingRoute.custom_route_handler,original_route_handler,real_benchmarks/fastapi/docs_src/custom_request_and_route/tutorial002_py310.py,,,
real_benchmarks/fastapi/docs_src/cookie_params/tutorial001_an_py310.py::read_items,app.get,real_benchmarks/fastapi/docs_src/cookie_params/tutorial001_an_py310.py,,,
real_benchmarks/fastapi/scripts/playwright/sql_databases/image01.py::run,page.goto,real_benchmarks/fastapi/scripts/playwright/sql_databases/image01.py,,,
real_benchmarks/fastapi/fastapi/dependencies/models.py::Dependant.is_coroutine_callable,Dependant.call,real_benchmarks/fastapi/fastapi/dependencies/models.py,,,
real_benchmarks/fastapi/fastapi/security/api_key.py::APIKeyCookie.__init__,"Call(func=Name(id='super', ctx=Load()), args=[], keywords=[]).__init__",real_benchmarks/fastapi/fastapi/security/api_key.py,,,
real_benchmarks/fastapi/scripts/contributors.py::get_pr_nodes,pr_nodes.append,real_benchmarks/fastapi/scripts/contributors.py,,,
real_benchmarks/fastapi/scripts/contributors.py::main,Settings,real_benchmarks/fastapi/scripts/contributors.py,,,
real_benchmarks/fastapi/docs_src/additional_responses/tutorial001_py310.py::read_item,app.get,real_benchmarks/fastapi/docs_src/additional_responses/tutorial001_py310.py,,,
real_benchmarks/fastapi/scripts/playwright/separate_openapi_schemas/image03.py::run,"Call(func=Attribute(value=Name(id='page', ctx=Load(...)), attr='get_by_role', ctx=Load()), args=[Constant(value='tab', kind=None)], keywords=[keyword(arg='name', value=Constant(value='Schema', kind=None))]).click",real_benchmarks/fastapi/scripts/playwright/separate_openapi_schemas/image03.py,,,
real_benchmarks/fastapi/docs_src/sql_databases/tutorial001_an_py310.py::read_heroes,"Call(func=Attribute(value=Call(func=Name(...), args=[Name(...)], keywords=[]), attr='offset', ctx=Load()), args=[Name(id='offset', ctx=Load())], keywords=[]).limit",real_benchmarks/fastapi/docs_src/sql_databases/tutorial001_an_py310.py,,,
real_benchmarks/fastapi/docs_src/request_forms/tutorial001_py310.py::login,app.post,real_benchmarks/fastapi/docs_src/request_forms/tutorial001_py310.py,,,
real_benchmarks/fastapi/scripts/doc_parsing_utils.py::extract_html_links,links.append,real_benchmarks/fastapi/scripts/doc_parsing_utils.py,,,
real_benchmarks/fastapi/fastapi/applications.py::FastAPI.head,annotated_doc.Doc,real_benchmarks/fastapi/fastapi/applications.py,,,
real_benchmarks/fastapi/docs_src/security/tutorial003_an_py310.py::login,fake_hash_password,real_benchmarks/fastapi/docs_src/security/tutorial003_an_py310.py,,,
real_benchmarks/fastapi/docs_src/query_params_str_validations/tutorial005_an_py310.py::read_items,fastapi.Query,real_benchmarks/fastapi/docs_src/query_params_str_validations/tutorial005_an_py310.py,,,
real_benchmarks/fastapi/scripts/contributors.py::main,pathlib.Path,real_benchmarks/fastapi/scripts/contributors.py,,,
real_benchmarks/fastapi/fastapi/routing.py::_IncludedRouter.matches,_IncludedRouter.original_router,real_benchmarks/fastapi/fastapi/routing.py,,,
real_benchmarks/fastapi/scripts/translate.py::generate_en_path,str,real_benchmarks/fastapi/scripts/translate.py,,,
real_benchmarks/fastapi/scripts/docs.py::lang_callback,lang.lower,real_benchmarks/fastapi/scripts/docs.py,,,
real_benchmarks/fastapi/fastapi/openapi/utils.py::generate_operation_summary,route.name,real_benchmarks/fastapi/fastapi/openapi/utils.py,,,
real_benchmarks/fastapi/fastapi/routing.py::_IncludedRouter._build_effective_context,copy.copy,real_benchmarks/fastapi/fastapi/routing.py,,,
real_benchmarks/fastapi/docs_src/security/tutorial007_an_py310.py::get_current_username,secrets.compare_digest,real_benchmarks/fastapi/docs_src/security/tutorial007_an_py310.py,,,
real_benchmarks/fastapi/scripts/contributors.py::main,repo.create_pull,real_benchmarks/fastapi/scripts/contributors.py,,,
real_benchmarks/fastapi/fastapi/dependencies/models.py::Dependant.is_async_gen_callable,inspect.isasyncgenfunction,real_benchmarks/fastapi/fastapi/dependencies/models.py,,,
real_benchmarks/fastapi/fastapi/routing.py::_IncludedRouter.effective_candidates,_IncludedRouter.original_router,real_benchmarks/fastapi/fastapi/routing.py,,,
real_benchmarks/fastapi/scripts/prepare_release.py::prepare,typer.Option,real_benchmarks/fastapi/scripts/prepare_release.py,,,
real_benchmarks/fastapi/fastapi/dependencies/models.py::Dependant.is_coroutine_callable,_impartial,real_benchmarks/fastapi/fastapi/dependencies/models.py,,,
real_benchmarks/fastapi/docs_src/path_params/tutorial001_py310.py::read_item,app.get,real_benchmarks/fastapi/docs_src/path_params/tutorial001_py310.py,,,
real_benchmarks/fastapi/scripts/playwright/separate_openapi_schemas/image04.py::run,page.set_viewport_size,real_benchmarks/fastapi/scripts/playwright/separate_openapi_schemas/image04.py,,,
