caller,callee,file,verified,correct,notes
real_benchmarks/sqlalchemy/lib/sqlalchemy/sql/selectable.py::FromClause._setup_collections,FromClause.__dict__,real_benchmarks/sqlalchemy/lib/sqlalchemy/sql/selectable.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/postgresql/ext.py::ExcludeConstraint.__init__,ExcludeConstraint.using,real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/postgresql/ext.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/sqlite/base.py::SQLiteCompiler.visit_on_conflict_do_update,roles.ExpressionElementRole,real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/sqlite/base.py,,,
real_benchmarks/sqlalchemy/examples/sharding/asyncio.py::WeatherLocation.__init__,WeatherLocation.city,real_benchmarks/sqlalchemy/examples/sharding/asyncio.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/strategies.py::_JoinedLoader._init_user_defined_eager_proc,loadopt.path,real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/strategies.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/util/langhelpers.py::HasMemoized._reset_memoizations,HasMemoized.__dict__.pop,real_benchmarks/sqlalchemy/lib/sqlalchemy/util/langhelpers.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/util/_collections_cy.py::IdentitySet.__ior__,isinstance,real_benchmarks/sqlalchemy/lib/sqlalchemy/util/_collections_cy.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/clsregistry.py::_class_resolver._resolve_table_key,util.warn_deprecated,real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/clsregistry.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/engine/_result_cy.py::BaseResultInternal._row_getter,cython.bint,real_benchmarks/sqlalchemy/lib/sqlalchemy/engine/_result_cy.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/sql/schema.py::Table.create,bind._run_ddl_visitor,real_benchmarks/sqlalchemy/lib/sqlalchemy/sql/schema.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/bulk_persistence.py::_BulkORMUpdate.orm_execute_statement,update_options._synchronize_session,real_benchmarks/sqlalchemy/lib/sqlalchemy/orm/bulk_persistence.py,,,
real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/mssql/base.py::MSDialect._fetch_multi_pk_constraint,ReflectionDefaults.pk_constraint,real_benchmarks/sqlalchemy/lib/sqlalchemy/dialects/mssql/base.py,,,
